                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72934,                0.53125,                      1,                0.69669,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                0.72298,                0.53125,                      1,                0.68668,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                0.68884,                0.53125,                      1,                0.66622,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                 0.6457,                0.53125,                      1,                0.63734,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                0.54949,                0.71875,                      1,                0.59837,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                0.48132,                0.90625,                      1,                0.55189,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                 0.3935,                      1,                      1,                0.50444,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                  0.338,                      1,                      1,                0.46149,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                0.24692,                      1,                      1,                0.44303,             0.00011177,             0.00011177,             0.00011177
                     10,                0.23402,                      1,                      1,                0.42468,             0.00012357,             0.00012357,             0.00012357
                     11,                0.21056,                      1,                      1,                0.40775,              0.0001351,              0.0001351,              0.0001351
                     12,                0.17518,                      1,                      1,                0.39304,             0.00014634,             0.00014634,             0.00014634
                     13,                0.14348,                      1,                      1,                0.38099,             0.00015729,             0.00015729,             0.00015729
                     14,                0.15415,                      1,                      1,                0.36964,             0.00016797,             0.00016797,             0.00016797
                     15,                0.16704,                      1,                      1,                 0.3607,             0.00017836,             0.00017836,             0.00017836
                     16,                0.10129,                      1,                      1,                0.35362,             0.00018847,             0.00018847,             0.00018847
                     17,                0.08173,                      1,                      1,                 0.3474,              0.0001983,              0.0001983,              0.0001983
                     18,                0.07283,                      1,                      1,                0.34174,             0.00020784,             0.00020784,             0.00020784
                     19,                  0.062,                      1,                      1,                0.33704,              0.0002171,              0.0002171,              0.0002171
                     20,                0.04972,                      1,                      1,                0.33379,             0.00022608,             0.00022608,             0.00022608
                     21,                0.09179,                      1,                      1,                0.33128,             0.00023478,             0.00023478,             0.00023478
                     22,                0.03488,                      1,                      1,                0.32728,             0.00024319,             0.00024319,             0.00024319
                     23,                0.03688,                      1,                      1,                0.32493,             0.00025132,             0.00025132,             0.00025132
                     24,                  0.043,                      1,                      1,                0.32299,             0.00025917,             0.00025917,             0.00025917
                     25,                0.02255,                      1,                      1,                 0.3216,             0.00026673,             0.00026673,             0.00026673
                     26,                0.03271,                      1,                      1,                0.32073,             0.00027402,             0.00027402,             0.00027402
                     27,                0.01836,                      1,                      1,                 0.3191,             0.00028101,             0.00028101,             0.00028101
                     28,                0.01811,                      1,                      1,                 0.3191,             0.00028773,             0.00028773,             0.00028773
                     29,                0.01233,                      1,                      1,                0.31824,             0.00029417,             0.00029417,             0.00029417
                     30,                0.01599,                      1,                      1,                0.31745,             0.00030032,             0.00030032,             0.00030032
                     31,                0.01038,                      1,                      1,                0.31745,             0.00030618,             0.00030618,             0.00030618
                     32,                0.01124,                      1,                      1,                0.31689,             0.00031177,             0.00031177,             0.00031177
                     33,                0.01282,                      1,                      1,                0.31628,             0.00031707,             0.00031707,             0.00031707
                     34,                0.00953,                      1,                      1,                0.31628,             0.00032209,             0.00032209,             0.00032209
                     35,                0.00703,                      1,                      1,                0.31586,             0.00032683,             0.00032683,             0.00032683
                     36,                0.00793,                      1,                      1,                0.31548,             0.00033129,             0.00033129,             0.00033129
                     37,                0.03806,                      1,                      1,                0.31548,             0.00033546,             0.00033546,             0.00033546
                     38,                0.00671,                      1,                      1,                0.31514,             0.00033935,             0.00033935,             0.00033935
                     39,                 0.0182,                      1,                      1,                0.31489,             0.00034295,             0.00034295,             0.00034295
                     40,                0.01586,                      1,                      1,                0.31489,             0.00034628,             0.00034628,             0.00034628
                     41,                0.00415,                      1,                      1,                0.31468,             0.00034932,             0.00034932,             0.00034932
                     42,                0.00395,                      1,                      1,                0.31454,             0.00035208,             0.00035208,             0.00035208
                     43,                0.00461,                      1,                      1,                0.31454,             0.00035455,             0.00035455,             0.00035455
                     44,                0.00375,                      1,                      1,                0.31444,             0.00035674,             0.00035674,             0.00035674
                     45,                0.00683,                      1,                      1,                0.31444,             0.00035865,             0.00035865,             0.00035865
                     46,                0.00365,                      1,                      1,                0.31432,             0.00036028,             0.00036028,             0.00036028
                     47,                0.00646,                      1,                      1,                0.31432,             0.00036163,             0.00036163,             0.00036163
                     48,                0.00585,                      1,                      1,                0.31421,             0.00036269,             0.00036269,             0.00036269
                     49,                0.00583,                      1,                      1,                0.31421,             0.00036347,             0.00036347,             0.00036347
                     50,                0.00556,                      1,                      1,                0.31411,             0.00036396,             0.00036396,             0.00036396
                     51,                0.00223,                      1,                      1,                0.31411,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00316,                      1,                      1,                0.31405,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00518,                      1,                      1,                0.31405,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00894,                      1,                      1,                0.31398,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00426,                      1,                      1,                0.31397,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00228,                      1,                      1,                0.31392,              0.0003323,              0.0003323,              0.0003323
                     57,                0.00164,                      1,                      1,                0.31392,             0.00032523,             0.00032523,             0.00032523
                     58,                0.00172,                      1,                      1,                0.31389,             0.00031816,             0.00031816,             0.00031816
                     59,                0.00203,                      1,                      1,                0.31389,             0.00031109,             0.00031109,             0.00031109
                     60,                0.00153,                      1,                      1,                0.31386,             0.00030402,             0.00030402,             0.00030402
                     61,                0.00143,                      1,                      1,                0.31386,             0.00029695,             0.00029695,             0.00029695
                     62,                0.00707,                      1,                      1,                0.31382,             0.00028988,             0.00028988,             0.00028988
                     63,                0.00404,                      1,                      1,                0.31382,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00132,                      1,                      1,                0.31378,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00374,                      1,                      1,                0.31378,             0.00026868,             0.00026868,             0.00026868
                     66,                0.00207,                      1,                      1,                0.31375,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00136,                      1,                      1,                0.31375,             0.00025454,             0.00025454,             0.00025454
                     68,                 0.0016,                      1,                      1,                0.31374,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00153,                      1,                      1,                0.31374,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00115,                      1,                      1,                0.31373,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00298,                      1,                      1,                0.31373,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00189,                      1,                      1,                0.31371,              0.0002192,              0.0002192,              0.0002192
                     73,                 0.0028,                      1,                      1,                0.31371,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00304,                      1,                      1,                0.31369,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00113,                      1,                      1,                0.31369,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00149,                      1,                      1,                0.31369,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00101,                      1,                      1,                0.31369,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00117,                      1,                      1,                0.31368,             0.00017679,             0.00017679,             0.00017679
                     79,                0.00169,                      1,                      1,                0.31368,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00146,                      1,                      1,                0.31367,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00099,                      1,                      1,                0.31367,             0.00015558,             0.00015558,             0.00015558
                     82,                  0.001,                      1,                      1,                0.31367,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00132,                      1,                      1,                0.31367,             0.00014144,             0.00014144,             0.00014144
                     84,                0.00237,                      1,                      1,                0.31366,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00121,                      1,                      1,                0.31366,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00236,                      1,                      1,                0.31365,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00256,                      1,                      1,                0.31365,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00315,                      1,                      1,                0.31364,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00123,                      1,                      1,                0.31364,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.00125,                      1,                      1,                0.31364,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00122,                      1,                      1,                0.31364,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00127,                      1,                      1,                0.31364,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00099,                      1,                      1,                0.31364,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00135,                      1,                      1,                0.31364,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00123,                      1,                      1,                0.31364,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.00149,                      1,                      1,                0.31364,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00136,                      1,                      1,                0.31364,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00129,                      1,                      1,                0.31365,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00243,                      1,                      1,                0.31365,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00096,                      1,                      1,                0.31364,             2.1277e-05,             2.1277e-05,             2.1277e-05
